Company Name;Nome;Código CVM;CNPJ;Segmento;Tickers
ASA INDUSTRIA E COMERCIO LTDA;ASA;911693;1551272000142;Não Classificados;N/A
ASAP COMÉRCIO DE MÁQUINAS E VEÍCULOS LTDA;ASAP;900114;20716823000125;Não Classificados;N/A
ASCENSUS GESTÃO E PARTICIPACOES S.A;ASCENSUS GES;913962;12561807000182;Não Classificados;N/A
ASCENSUS TV PAR SPE S.A.;ASCENSUS TV;917464;44121917000110;Não Classificados;N/A
ASCENTY DATA CENTERS E TELECOMUNICACOES S/A;ASCENTYSA;900365;13743550000142;Não Classificados;N/A
ASSURUÁ 5 ENERGIA S.A.;ASSURUÁ 5;900201;38286323000166;Não Classificados;N/A
ASTER INVESTIMENTOS S.A.;ASTER INVEST;916585;42113253000111;Não Classificados;N/A
ASTIC IE PARTICIPACOES S.A.;ASTICIEPARTI;916320;33824575000188;Não Classificados;N/A
ASTURIAS ENERGIA RENOVAVEL S.A. ;ASTURIAS;900038;47239287000170;Não Classificados;N/A
ATACADÃO S.A.;CARREFOUR BR;24171;75315333000109;Alimentos;CRFB3
ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A.;ATAKAREJO DI;914028;73849952000158;Não Classificados;N/A
ATE V - LONDRINA TRANSMISSORA DE ENERGIA S/A;ATE V LONDRI;912584;8232879000109;Não Classificados;N/A
ATE VI - CAMPOS NOVOS TRANSMISSORA DE ENERGIA S/A;ATE VI CAMPO;912592;8635011000150;Não Classificados;N/A
ATE VII FOZ DO IGUACU TRANSMISSORA DE ENERGIA S/A;ATE VII FOZ;912675;8806925000136;Não Classificados;N/A
ATE VIII TRANSMISSORA DE ENERGIA S/A;ATE VIII TRA;912493;10515756000127;Não Classificados;N/A
ATEMS DISTRIBUIDORA DE PETROLEO S/A;ATEMS;900399;3987364000103;Não Classificados;N/A
ATENTO BRASIL S.A.;ATENTOBRASIL;900381;2879250000179;Não Classificados;N/A
ATHENA SAUDE BRASIL S.A.;ATHENA;900372;31701408000114;Não Classificados;N/A
ATHON ENERGIA S/A;ATHONENERGIA;917237;27512695000147;Não Classificados;N/A
ATHON GERAÇÃO DISTRIBUÍDA II S.A. ;ATHONII;900041;38213667000145;Não Classificados;N/A
ATHON GERAÇÃO DISTRIBUÍDA III S.A.;ATHON GERAÇÃ;900180;52948225000178;Não Classificados;N/A
ATHON GERAÇÃO DISTRIBUÍDA S.A.;ATHONGERACAO;916478;30997588000160;Não Classificados;N/A
ATIAIA ENERGIA S/A;ATIAIA;900525;6015859000150;Não Classificados;N/A
ATIVAS DATA CENTER S.A.;ATIVAS;900373;10587932000136;Não Classificados;N/A
